OrigBlock,OrigSeaTable,SampleN,SampleID,PopID,Genus_Species,Trt,PreTrtMortNotes,ShellHeight,ShellWidth,WetWeight,ReplacementFor
4,T3,0001,NT_RI_LS_04_0001,RI,littorina_saxatilis,NT,,9.40,10.30,0.508,
4,T2,0006,NT_RI_LS_04_0006,RI,littorina_saxatilis,NT,,5.51,4.00,0.043,
4,T3,0014,NT_MA_LO_04_0014,MA,littorina_obtusata,NT,,5.96,6.61,0.122,
4,T3,0023,HS_MA_LO_04_0023,MA,littorina_obtusata,HS,,9.86,10.67,0.590,
4,T2,0043,NT_RI_LO_04_0043,RI,littorina_obtusata,NT,,5.78,6.28,0.120,
4,T2,0048,HS_MA_LL_04_0048,MA,littorina_littorea,HS,,13.92,11.64,1.007,
4,T3,0063,HS_MA_LS_04_0063,MA,littorina_saxatilis,HS,,8.93,7.83,0.202,
4,T3,0064,NT_RI_LS_04_0064,RI,littorina_saxatilis,CS,,9.94,8.67,0.254,NT_RI_LS_03_0485
4,T3,0076,NT_RI_LO_04_0076,RI,littorina_obtusata,NT,,6.59,7.60,0.197,
4,T3,0078,CS_MA_LO_04_0078,MA,littorina_obtusata,CS,,8.64,9.51,0.358,
4,T3,0084,HS_RI_LO_04_0084,RI,littorina_obtusata,HS,,8.47,9.73,0.388,
4,T2,0089,NT_MA_LS_04_0089,MA,littorina_saxatilis,NT,,12.16,10.43,0.509,
4,T2,0090,NT_MA_LS_04_0090,MA,littorina_saxatilis,NT,dead,5.07,4.09,0.033,
4,T1,0093,NT_MA_LL_04_0093,MA,littorina_littorea,NT,,8.65,7.82,0.270,
4,T3,0098,CS_MA_LL_04_0098,MA,littorina_littorea,CS,,10.20,8.76,0.337,
4,T3,0104,NT_MA_LO_04_0104,MA,littorina_obtusata,NT,,8.10,8.97,0.259,
4,T2,0107,HS_RI_LL_04_0107,RI,littorina_littorea,HS,,12.91,11.58,0.871,
4,T1,0108,CS_RI_LL_04_0108,RI,littorina_littorea,CS,,18.94,16.62,2.680,
4,T3,0111,NT_RI_LO_04_0111,RI,littorina_obtusata,NT,,6.58,7.19,0.183,
4,T1,0119,CS_MA_LS_04_0119,MA,littorina_saxatilis,CS,,7.85,6.90,0.196,
4,T1,0130,HS_RI_LO_04_0130,RI,littorina_obtusata,HS,,8.05,8.93,0.488,
4,T2,0148,NT_MA_LO_04_0148,MA,littorina_obtusata,NT,dead,5.07,5.44,0.065,
4,T2,0161,HS_MA_LL_04_0161,MA,littorina_littorea,HS,,7.65,6.68,0.143,
4,T2,0167,NT_MA_LO_04_0167,MA,littorina_obtusata,NT,,4.70,5.27,0.064,
4,T3,0187,HS_RI_LO_04_0187,RI,littorina_obtusata,HS,,9.33,10.16,0.505,
4,T1,0189,NT_RI_LL_04_0189,RI,littorina_littorea,NT,,11.89,10.17,0.568,
4,T3,0191,HS_RI_LL_04_0191,RI,littorina_littorea,HS,,14.16,12.79,1.086,HS_RI_LS_03_0484
4,T3,0197,CS_MA_LL_04_0197,MA,littorina_littorea,CS,,11.03,9.74,0.426,
4,T2,0198,CS_MA_LL_04_0198,MA,littorina_littorea,CS,,11.41,9.83,0.483,
4,T2,0204,CS_RI_LL_04_0204,RI,littorina_littorea,CS,,12.47,11.19,0.695,NT_RI_LS_03_0936
4,T2,0205,HS_RI_LL_04_0205,RI,littorina_littorea,HS,,11.93,10.54,0.612,HS_RI_LS_03_0759
4,T2,0217,HS_MA_LO_04_0217,MA,littorina_obtusata,HS,,8.35,9.31,0.311,
4,T1,0223,NT_RI_LS_04_0223,RI,littorina_saxatilis,CS,,7.58,5.33,0.165,NT_RI_LS_03_0690
4,T1,0224,HS_MA_LL_04_0224,MA,littorina_littorea,HS,,9.67,6.03,0.296,
4,T1,0228,CS_RI_LO_04_0228,RI,littorina_obtusata,CS,,7.65,7.41,0.455,
4,T1,0233,CS_RI_LS_04_0233,RI,littorina_saxatilis,CS,dead,8.22,5.77,0.183,
4,T3,0240,NT_MA_LL_04_0240,MA,littorina_littorea,NT,,6.62,5.93,0.108,
4,T1,0249,HS_MA_LL_04_0249,MA,littorina_littorea,HS,,10.44,6.63,0.380,
4,T1,0251,NT_MA_LS_04_0251,MA,littorina_saxatilis,NT,,4.93,4.31,0.040,
4,T1,0252,CS_MA_LS_04_0252,MA,littorina_saxatilis,CS,,9.51,7.04,0.289,
4,T3,0257,NT_RI_LS_04_0257,RI,littorina_saxatilis,NT,,6.27,5.45,0.086,
4,T1,0259,NT_RI_LS_04_0259,RI,littorina_littorea,HS,,7.07,6.19,0.114,NT_RI_LS_03_0009
4,T3,0261,HS_MA_LL_04_0261,MA,littorina_littorea,HS,,7.95,7.01,0.176,
4,T3,0267,CS_MA_LL_04_0267,MA,littorina_littorea,CS,,7.75,6.76,0.159,
4,T2,0290,CS_MA_LO_04_0290,MA,littorina_obtusata,CS,,6.76,6.93,0.135,
4,T1,0295,NT_RI_LS_04_0295,RI,littorina_saxatilis,NT,,8.82,7.58,0.234,
4,T3,0299,HS_MA_LS_04_0299,MA,littorina_saxatilis,HS,,6.63,5.95,0.107,HS_MA_LS_03_0772
4,T2,0310,CS_RI_LL_04_0310,RI,littorina_littorea,CS,,18.30,16.00,2.348,
4,T2,0312,NT_RI_LS_04_0312,RI,littorina_saxatilis,HS,,8.76,7.30,0.187,NT_RI_LS_03_0306
4,T2,0313,CS_RI_LO_04_0313,RI,littorina_obtusata,CS,,4.29,5.02,0.056,
4,T2,0317,CS_RI_LO_04_0317,RI,littorina_obtusata,CS,,6.24,6.96,0.148,
4,T1,0323,NT_MA_LL_04_0323,MA,littorina_littorea,NT,,8.62,6.38,0.238,
4,T1,0326,CS_MA_LL_04_0326,MA,littorina_littorea,CS,,10.26,7.61,0.351,
4,T3,0331,HS_MA_LS_04_0331,MA,littorina_saxatilis,HS,,8.75,8.17,0.209,
4,T1,0341,CS_MA_LL_04_0341,MA,littorina_littorea,CS,,8.71,5.87,0.253,
4,T2,0344,NT_RI_LS_04_0344,RI,littorina_saxatilis,NT,,7.70,6.55,0.157,NT_RI_LS_03_0201
4,T2,0347,CS_RI_LS_04_0347,RI,littorina_saxatilis,CS,,12.19,10.98,0.532,
4,T3,0355,CS_MA_LO_04_0355,MA,littorina_obtusata,CS,,6.02,6.68,0.130,CS_MA_LO_03_1063
4,T3,0356,CS_MA_LS_04_0356,MA,littorina_saxatilis,CS,,7.90,6.97,0.154,
4,T3,0357,NT_MA_LL_04_0357,MA,littorina_littorea,NT,,10.86,10.12,0.493,
4,T1,0374,NT_RI_LL_04_0374,RI,littorina_littorea,NT,,18.22,15.76,1.989,
4,T3,0380,HS_RI_LO_04_0380,RI,littorina_obtusata,HS,,7.66,6.99,0.382,
4,T1,0389,CS_MA_LS_04_0389,MA,littorina_saxatilis,CS,,10.65,6.00,0.266,CS_MA_LS_03_0823
4,T2,0399,NT_MA_LS_04_0399,MA,littorina_saxatilis,NT,,8.00,7.08,0.172,
4,T1,0411,HS_RI_LL_04_0411,RI,littorina_littorea,HS,,10.37,8.68,0.354,HS_RI_LS_03_1026
4,T1,0414,HS_RI_LL_04_0414,RI,littorina_littorea,HS,,12.04,11.02,0.727,
4,T1,0419,NT_RI_LS_04_0419,RI,littorina_saxatilis,NT,,9.34,7.32,0.251,
4,T3,0420,HS_RI_LO_04_0420,RI,littorina_obtusata,HS,,5.53,6.07,0.098,
4,T3,0423,NT_RI_LS_04_0423,RI,littorina_saxatilis,NT,,8.40,6.85,0.151,NT_RI_LS_05_0229
4,T1,0427,NT_MA_LS_04_0427,MA,littorina_saxatilis,NT,,5.09,3.26,0.056,NT_MA_LS_03_0498
4,T2,0430,HS_MA_LL_04_0430,MA,littorina_littorea,HS,,7.81,6.85,0.169,
4,T1,0431,CS_RI_LO_04_0431,RI,littorina_obtusata,CS,dead,4.02,4.80,0.061,
4,T1,0436,CS_RI_LO_04_0436,RI,littorina_obtusata,CS,,6.07,6.42,0.132,CS_RI_LO_05_0554
4,T2,0440,CS_RI_LL_04_0440,RI,littorina_littorea,CS,,11.15,9.99,0.490,
4,T1,0443,NT_RI_LS_04_0443,RI,littorina_saxatilis,NT,,8.47,6.65,0.174,
4,T2,0448,HS_MA_LS_04_0448,MA,littorina_saxatilis,HS,,8.85,7.83,0.228,HS_MA_LS_03_0982
4,T1,0450,HS_RI_LS_04_0450,RI,littorina_saxatilis,HS,,6.67,5.86,0.094,HS_RI_LS_05_0555
