YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 00 157  9.0  9.6 99.00 99.00 99.00 999 1025.3   5.2 999.0 999.0 99.0 99.00
2019 01 01 01 00 135 10.3 11.1 99.00 99.00 99.00 999 1022.9   4.9 999.0 999.0 99.0 99.00
2019 01 01 02 00 141 10.5 11.1 99.00 99.00 99.00 999 1021.8   5.1 999.0 999.0 99.0 99.00
2019 01 01 03 00 142 12.0 13.2 99.00 99.00 99.00 999 1019.0   5.4 999.0 999.0 99.0 99.00
2019 01 01 04 00 144 13.8 14.9 99.00 99.00 99.00 999 1016.6   5.9 999.0 999.0 99.0 99.00
2019 01 01 05 00 148 13.2 15.8 99.00 99.00 99.00 999 1014.0   6.4 999.0 999.0 99.0 99.00
2019 01 01 06 00 155 15.4 17.7 99.00 99.00 99.00 999 1009.9   7.1 999.0 999.0 99.0 99.00
2019 01 01 07 00 158 14.0 16.3 99.00 99.00 99.00 999 1007.9   8.0 999.0 999.0 99.0 99.00
2019 01 01 08 00 177 14.7 16.0 99.00 99.00 99.00 999 1004.7   9.0 999.0 999.0 99.0 99.00
2019 01 01 09 00 191 13.5 14.4 99.00 99.00 99.00 999 1002.5  10.1 999.0 999.0 99.0 99.00
2019 01 01 10 00 225 13.7 15.3 99.00 99.00 99.00 999 1001.4  10.7 999.0 999.0 99.0 99.00
2019 01 01 11 00 225 14.2 15.8 99.00 99.00 99.00 999 1000.6  10.1 999.0 999.0 99.0 99.00
2019 01 01 12 00 235 13.8 15.0 99.00 99.00 99.00 999 1000.7  10.0 999.0 999.0 99.0 99.00
2019 01 01 13 00 245 11.5 12.2 99.00 99.00 99.00 999 1001.4   8.8 999.0 999.0 99.0 99.00
2019 01 01 14 00 238 11.5 12.1 99.00 99.00 99.00 999 1001.8   8.4 999.0 999.0 99.0 99.00
2019 01 01 15 00 245 12.1 12.6 99.00 99.00 99.00 999 1001.7   8.1 999.0 999.0 99.0 99.00
2019 01 01 16 00 250 16.0 18.0 99.00 99.00 99.00 999 1001.5   9.8 999.0 999.0 99.0 99.00
2019 01 01 17 00 269 12.5 13.7 99.00 99.00 99.00 999 1002.9  10.2 999.0 999.0 99.0 99.00
2019 01 01 18 00 296 13.8 14.8 99.00 99.00 99.00 999 1004.1  11.8 999.0 999.0 99.0 99.00
2019 01 01 19 00 310 11.5 12.7 99.00 99.00 99.00 999 1005.9  10.6 999.0 999.0 99.0 99.00
2019 01 01 20 00 310 12.1 13.6 99.00 99.00 99.00 999 1007.6   9.9 999.0 999.0 99.0 99.00
2019 01 01 21 00 296 10.8 11.4 99.00 99.00 99.00 999 1010.2   8.2 999.0 999.0 99.0 99.00
2019 01 01 22 00 300 10.8 11.8 99.00 99.00 99.00 999 1012.5   7.3 999.0 999.0 99.0 99.00
2019 01 01 23 00 296 13.8 15.0 99.00 99.00 99.00 999 1013.8   6.3 999.0 999.0 99.0 99.00
2019 01 02 00 00 298 10.9 12.6 99.00 99.00 99.00 999 1015.7   5.7 999.0 999.0 99.0 99.00
2019 01 02 01 00 299  7.6  8.4 99.00 99.00 99.00 999 1016.8   5.2 999.0 999.0 99.0 99.00
2019 01 02 02 00 297  9.0  9.8 99.00 99.00 99.00 999 1017.7   4.8 999.0 999.0 99.0 99.00
2019 01 02 03 00 292 10.0 11.3 99.00 99.00 99.00 999 1018.1   4.5 999.0 999.0 99.0 99.00
2019 01 02 04 00 299  9.4  9.8 99.00 99.00 99.00 999 1018.9   4.0 999.0 999.0 99.0 99.00
2019 01 02 05 00 312  7.4  8.5 99.00 99.00 99.00 999 1019.9   3.5 999.0 999.0 99.0 99.00
