Date,Block,SeaTable,SampleN,SampleID,VialN,RespStartTime,O2_0_umol/L,O2_60_umol/L,O2_120_umol/L,O2_180_umol/L,O2_240_umol/L,O2_300_umol/L,O2_360_umol/L,O2_420_umol/L,MaxRespRate_umolO2/hr,RespNotes
20190722,3,T1,0009,NT_RI_LS_03_0009,1,13:13,253.7,250.9,229.5,202.4,NA,NA,NA,NA,27.1,
20190722,3,T1,0040,HS_RI_LL_03_0040,2,13:15,243.5,231.6,175.9,NA,NA,NA,NA,NA,55.7,
20190722,3,T1,0044,NT_MA_LO_03_0044,3,13:17,241.8,224.5,193.3,NA,NA,NA,NA,NA,31.2,
20190722,3,T1,0073,HS_RI_LO_03_0073,4,13:19,255.4,235.9,217.1,194.5,NA,NA,NA,NA,22.6,
20190722,3,T1,0118,CS_RI_LO_03_0118,5,13:21,260.5,197.4,NA,NA,NA,NA,NA,NA,63.1,
20190722,3,T1,0146,CS_RI_LS_03_0146,6,13:25,255.5,212.2,173.3,NA,NA,NA,NA,NA,43.3,
20190722,3,T1,0152,HS_RI_LO_03_0152,7,13:28,263.2,248.4,207.9,187.3,NA,NA,NA,NA,40.5,
20190722,3,T1,0179,HS_RI_LL_03_0179,9,13:32,258.7,233.3,173.8,NA,NA,NA,NA,NA,59.5,
20190722,3,T1,0194,HS_MA_LL_03_0194,11,13:36,255.9,247.7,208.3,193.3,NA,NA,NA,NA,39.4,
20190722,3,T1,0206,HS_RI_LO_03_0206,12,13:38,256.1,254.9,189.8,NA,NA,NA,NA,NA,65.1,
20190722,3,T1,0303,HS_MA_LO_03_0303,15,13:42,255.5,241.7,197.7,NA,NA,NA,NA,NA,44.0,
20190722,NA,NA,C22,Resp_C22,18,10:58,261.9,NA,NA,252.8,NA,250.8,NA,NA,,
20190723,3,T1,0160,NT_MA_LO_03_0160,1,10:00,237.6,219.2,187.2,NA,NA,NA,NA,NA,32.0,
20190723,3,T1,0601,CS_MA_LL_03_0601,1,12:02,246.7,229.5,193.5,NA,NA,NA,NA,NA,36.0,
20190723,3,T1,0181,NT_MA_LL_03_0181,2,10:01,243.0,234.0,200.7,179.5,NA,NA,NA,NA,33.3,
20190723,3,T1,0265,HS_MA_LS_03_0265,3,10:03,247.2,230.0,205.8,191.4,NA,NA,NA,NA,24.2,
20190723,3,T1,0302,HS_RI_LL_03_0302,4,10:05,239.1,223.5,169.6,NA,NA,NA,NA,NA,53.9,
20190723,3,T1,0619,CS_RI_LS_03_0619,4,12:09,249.5,229.1,215.5,203.1,183.8,NA,NA,NA,20.4,
20190723,3,T1,0325,HS_RI_LS_03_0325,5,10:06,245.1,225.7,178.6,NA,NA,NA,NA,NA,47.1,
20190723,3,T1,0636,CS_RI_LL_03_0636,5,12:13,246.4,79.6,NA,NA,NA,NA,NA,NA,166.8,
20190723,3,T1,0332,NT_RI_LL_03_0332,6,10:08,241.1,224.3,177.8,NA,NA,NA,NA,NA,46.5,
20190723,3,T1,0637,HS_RI_LS_03_0637,6,12:18,236.5,229.3,212.5,197.5,142.5,NA,NA,NA,55.0,
20190723,3,T1,0339,NT_MA_LL_03_0339,7,10:10,245.2,234.0,223.9,218.1,195.7,NA,NA,NA,22.4,
20190723,3,T1,0348,NT_RI_LO_03_0348,8,10:12,244.7,200.6,172.7,NA,NA,NA,NA,NA,44.1,
20190723,3,T1,0649,NT_MA_LL_03_0649,8,12:25,233.1,235.2,233.2,220.9,213.7,NA,NA,NA,12.3,
20190723,3,T1,0418,NT_MA_LO_03_0418,9,10:14,241.5,184.5,NA,NA,NA,NA,NA,NA,57.0,
20190723,3,T1,0598,HS_RI_LO_03_0598,9,11:17,242.3,215.7,184.7,NA,NA,NA,NA,NA,31.0,
20190723,3,T1,0457,CS_RI_LS_03_0457,10,10:16,243.1,223.4,200.7,179.5,NA,NA,NA,NA,22.7,
20190723,3,T1,0498,NT_MA_LS_03_0498,11,10:19,234.8,214.8,200.5,189.4,179.9,NA,NA,NA,20.0,
